u:\PHYS 402\Lab 1 (D7)\day2data3(notgood).txt

DAQ PROGRAM: DGMC2.prj 


Date: 
09-08-2020
Time: 
10:45:57
Total Number of Data Points:     
350
Stepper Motor Step Size (Cycles):
1
Stepper Motor Step Size (Steps): 
40
Stepper Motor Step Size (cm):    
2.0

W(A) 	Robs 	WNum 
        4651.65	      12.971698	    1172.848126
        4653.15	      10.023585	    1179.778189
        4655.15	       11.20283	    1189.011325
        4657.15	      10.613208	    1198.236532
        4659.15	       5.306604	    1207.453818
         4661.2	       7.665094	    1216.893328
        4663.15	       2.948113	    1225.864671
        4665.15	       9.433962	    1235.058258
        4667.15	       4.716981	    1244.243966
        4669.15	       8.254717	    1253.421805
         4671.2	        8.84434	    1262.820933
        4673.15	      10.023585	    1271.753914
        4675.15	       8.254717	    1280.908205
        4677.15	       5.306604	    1290.054668
        4679.15	       4.716981	    1299.193311
         4681.2	       7.665094	    1308.552316
        4683.15	       6.485849	    1317.447181
        4685.15	       6.485849	    1326.562428
        4687.15	      12.382075	    1335.669896
        4689.15	       4.716981	    1344.769594
         4691.2	      10.613208	    1354.088733
        4693.15	        8.84434	    1362.945725
        4695.15	      11.792453	    1372.022176
        4697.15	      10.023585	    1381.090898
        4699.15	      12.971698	    1390.151901
         4701.2	       4.716981	    1399.431428
        4703.15	       7.075472	    1408.250787
        4705.15	      11.792453	    1417.288691
        4707.15	       11.20283	    1426.318914
        4709.15	       4.127358	    1435.341467
        4711.15	       7.665094	    1444.356359
        4713.15	      10.023585	      1453.3636
        4715.15	       5.896226	    1462.363201
        4717.15	      12.382075	     1471.35517
         4719.1	       6.485849	    1480.115001
        4721.15	       2.358491	    1489.316252
         4723.1	      11.792453	    1498.061249
         4725.1	       8.254717	    1507.022979
         4727.1	      10.023585	    1515.977126
         4729.1	       11.20283	    1524.923699
        4731.15	       11.20283	    1534.086086
         4733.1	       8.254717	    1542.794162
         4735.1	      11.792453	    1551.718071
        4737.15	      10.023585	    1560.857259
        4739.15	       6.485849	    1569.765919
        4741.15	       5.306604	    1578.667063
        4743.15	       5.306604	    1587.560701
        4745.15	      13.561321	    1596.446842
        4747.15	      14.150943	    1605.325495
        4749.15	       6.485849	     1614.19667
        4751.15	       4.716981	    1623.060377
        4753.15	       7.665094	    1631.916624
        4755.15	      10.023585	    1640.765422
        4757.15	      12.971698	    1649.606779
        4759.15	      12.971698	    1658.440705
         4761.2	        8.84434	    1667.487777
        4763.15	      10.023585	    1676.086301
        4765.15	       6.485849	     1684.89799
         4767.2	      15.330189	    1693.922298
        4769.15	        8.84434	    1702.499196
         4771.2	      15.330189	    1711.508376
        4773.15	      10.613208	    1720.070902
        4775.15	       6.485849	    1728.845716
        4777.15	       11.20283	    1737.613182
        4779.15	       6.485849	     1746.37331
         4781.2	       5.896226	    1755.344835
        4783.15	        8.84434	    1763.871589
        4785.15	       8.254717	    1772.609758
        4787.15	       9.433962	    1781.340625
        4789.15	       5.896226	    1790.064201
         4791.2	       8.254717	    1798.998307
        4793.15	       2.358491	    1807.489511
        4795.15	       7.075472	    1816.191265
        4797.15	       7.075472	    1824.885763
        4799.15	       2.948113	    1833.573014
         4801.2	      14.150943	    1842.469935
        4803.15	        8.84434	    1850.925812
        4805.15	        8.84434	    1859.591377
        4807.15	      13.561321	    1868.249732
        4809.15	       7.665094	    1876.900885
        4811.15	       7.665094	    1885.544846
        4813.15	       4.716981	    1894.181623
        4815.15	        8.84434	    1902.811225
        4817.15	      12.971698	    1911.433661
         4819.1	      10.613208	    1919.833646
        4821.15	      14.150943	    1928.657073
         4823.1	        8.84434	    1937.043128
         4825.1	        8.84434	    1945.637168
         4827.1	      10.613208	    1954.224088
         4829.1	       8.254717	    1962.803894
        4831.15	      12.971698	    1971.590824
         4833.1	      12.971698	    1979.942205
         4835.1	       4.716981	    1988.500727
        4837.15	       8.254717	    1997.265867
        4839.15	       6.485849	    2005.810066
        4841.15	      10.023585	    2014.347205
        4843.15	       8.254717	    2022.877293
        4845.15	       8.254717	     2031.40034
        4847.15	       7.075472	    2039.916353
        4849.15	      10.613208	    2048.425341
         4851.2	        8.84434	    2057.139772
        4853.15	       8.254717	    2065.422277
        4855.15	       5.306604	    2073.910243
        4857.15	       4.716981	    2082.391219
        4859.15	       5.306604	    2090.865214
         4861.2	      14.150943	    2099.543822
        4863.15	       5.896226	    2107.792293
        4865.15	      10.023585	    2116.245394
         4867.2	       6.485849	    2124.902614
        4869.15	       9.433962	    2133.130765
         4871.2	       5.896226	     2141.77377
         4873.2	       9.433962	    2150.198962
        4875.15	       9.433962	    2158.406868
         4877.2	       6.485849	    2167.028616
        4879.15	      12.382075	    2175.223067
         4881.2	      10.023585	    2183.830687
        4883.15	       7.665094	    2192.011716
        4885.15	       5.896226	    2200.395731
