u:\PHYS 402\Lab 1 (D7)\day2data4.txt

DAQ PROGRAM: DGMC2.prj 


Date: 
09-08-2020
Time: 
11:01:53
Total Number of Data Points:     
350
Stepper Motor Step Size (Cycles):
1
Stepper Motor Step Size (Steps): 
40
Stepper Motor Step Size (cm):    
2.0

W(A) 	Robs 	WNum 
        4651.65	     107.311321	    1172.848126
        4653.15	     109.669811	    1179.778189
        4655.15	          125.0	    1189.011325
        4657.15	     100.235849	    1198.236532
        4659.15	      92.570755	    1207.453818
         4661.2	      87.264151	    1216.893328
        4663.15	     113.207547	    1225.864671
        4665.15	      91.391509	    1235.058258
        4667.15	      83.726415	    1244.243966
        4669.15	      96.108491	    1253.421805
         4671.2	      79.009434	    1262.820933
        4673.15	      95.518868	    1271.753914
        4675.15	      88.443396	    1280.908205
        4677.15	      83.136792	    1290.054668
        4679.15	      97.877358	    1299.193311
         4681.2	      83.136792	    1308.552316
        4683.15	      88.443396	    1317.447181
        4685.15	      86.084906	    1326.562428
         4687.2	      96.108491	    1335.897483
        4689.15	     110.259434	    1344.769594
         4691.2	     127.358491	    1354.088733
        4693.15	     151.533019	    1362.945725
         4695.2	      145.04717	    1372.248988
        4697.15	     149.174528	    1381.090898
        4699.15	     109.669811	    1390.151901
         4701.2	      104.95283	    1399.431428
        4703.15	      74.882075	    1408.250787
        4705.15	      99.056604	    1417.288691
        4707.15	      75.471698	    1426.318914
        4709.15	      73.113208	    1435.341467
        4711.15	      77.240566	    1444.356359
        4713.15	      54.834906	      1453.3636
         4715.1	      67.806604	    1462.138304
        4717.15	       82.54717	     1471.35517
         4719.1	      73.113208	    1480.115001
        4721.15	      89.033019	    1489.316252
        4723.15	      64.858491	    1498.285385
        4725.15	      74.882075	    1507.246925
         4727.1	      76.061321	    1515.977126
         4729.1	      74.292453	    1524.923699
        4731.15	      57.783019	    1534.086086
        4733.15	      76.650943	    1543.017352
        4735.15	      75.471698	    1551.941073
        4737.15	      87.264151	    1560.857259
        4739.15	      70.754717	    1569.765919
        4741.15	      89.033019	    1578.667063
        4743.15	      76.061321	    1587.560701
        4745.15	      90.801887	    1596.446842
        4747.15	          93.75	    1605.325495
        4749.15	      90.212264	     1614.19667
        4751.15	      97.877358	    1623.060377
        4753.15	      89.033019	    1631.916624
        4755.15	      68.396226	    1640.765422
        4757.15	       84.90566	    1649.606779
        4759.15	      70.754717	    1658.440705
         4761.2	      75.471698	    1667.487777
        4763.15	      60.141509	    1676.086301
        4765.15	      61.910377	     1684.89799
        4767.15	      57.193396	    1693.702285
        4769.15	     103.183962	    1702.499196
         4771.2	      81.367925	    1711.508376
        4773.15	      96.108491	    1720.070902
        4775.15	       82.54717	    1728.845716
        4777.15	      102.59434	    1737.613182
         4779.2	      99.646226	    1746.592219
         4781.2	     124.410377	    1755.344835
        4783.15	     119.693396	    1763.871589
        4785.15	     112.617925	    1772.609758
         4787.2	      83.136792	    1781.558804
        4789.15	      67.216981	    1790.064201
         4791.2	      64.268868	    1798.998307
        4793.15	      67.216981	    1807.489511
        4795.15	      66.627358	    1816.191265
        4797.15	       84.90566	    1824.885763
        4799.15	      81.957547	    1833.573014
         4801.2	      81.957547	    1842.469935
        4803.15	      79.009434	    1850.925812
        4805.15	      67.806604	    1859.591377
        4807.15	      60.141509	    1868.249732
        4809.15	      58.372642	    1876.900885
        4811.15	      75.471698	    1885.544846
        4813.15	      70.165094	    1894.181623
        4815.15	       82.54717	    1902.811225
        4817.15	     106.132075	    1911.433661
        4819.15	      104.95283	    1920.048941
        4821.15	     140.919811	    1928.657073
         4823.1	     158.608491	    1937.043128
         4825.1	     153.301887	    1945.637168
         4827.1	     140.330189	    1954.224088
        4829.15	      94.929245	    1963.018299
        4831.15	      84.316038	    1971.590824
         4833.1	      79.009434	    1979.942205
        4835.15	      61.910377	    1988.714599
        4837.15	      70.165094	    1997.265867
        4839.15	      45.990566	    2005.810066
        4841.15	      72.523585	    2014.347205
        4843.15	      77.240566	    2022.877293
        4845.15	      54.245283	     2031.40034
        4847.15	      59.551887	    2039.916353
        4849.15	      63.679245	    2048.425341
         4851.2	      44.221698	    2057.139772
        4853.15	      54.834906	    2065.422277
        4855.15	      58.372642	    2073.910243
        4857.15	      67.806604	    2082.391219
        4859.15	      66.037736	    2090.865214
         4861.2	      66.627358	    2099.543822
        4863.15	      74.882075	    2107.792293
        4865.15	      64.858491	    2116.245394
        4867.15	      61.910377	    2124.691549
        4869.15	      71.933962	    2133.130765
         4871.2	      58.372642	     2141.77377
        4873.15	      65.448113	    2149.988416
        4875.15	      69.575472	    2158.406868
        4877.15	      52.476415	    2166.818416
        4879.15	      57.193396	    2175.223067
         4881.2	      67.806604	    2183.830687
        4883.15	      60.141509	    2192.011716
        4885.15	      51.886792	    2200.395731
        4887.15	      44.811321	    2208.772884
        4889.15	      43.042453	    2217.143182
         4891.2	      51.886792	    2225.715635
        4893.15	      66.627358	    2233.863253
        4895.15	      49.528302	    2242.213041
        4897.15	      48.938679	    2250.556009
        4899.15	       51.29717	    2258.892166
         4901.2	      58.372642	    2267.429665
        4903.15	      61.910377	    2275.544076
        4905.15	      60.141509	    2283.859847
        4907.15	      47.169811	     2292.16884
        4909.15	      77.830189	    2300.471062
        4911.15	       71.34434	    2308.766523
        4913.15	      77.830189	    2317.055229
         4915.1	      83.726415	    2325.130224
        4917.15	     129.127358	    2333.612415
        4919.15	     102.004717	     2341.88091
        4921.15	     127.948113	    2350.142684
         4923.1	      136.20283	    2358.191451
         4925.1	     156.839623	    2366.439976
         4927.1	     112.028302	    2374.681804
         4929.1	      102.59434	    2382.916944
        4931.15	      93.160377	     2391.35103
