u:\PHYS 402\Lab 1 (D7)\day2test2.txt

DAQ PROGRAM: DGMC2.prj 


Date: 
09-08-2020
Time: 
09:43:50
Total Number of Data Points:     
96
Stepper Motor Step Size (Cycles):
0
Stepper Motor Step Size (Steps): 
5
Stepper Motor Step Size (cm):    
0.25

W(A) 	Robs 	WNum 
        4551.65	     466.391509	     700.541421
        4551.45	     364.386792	     699.576012
        4551.65	     513.561321	     700.541421
        4551.85	     567.806604	     701.506746
        4552.15	     494.103774	     702.954573
         4552.4	     363.207547	      704.16095
        4552.65	     322.523585	     705.367194
         4552.9	     324.292453	     706.573306
        4553.15	     330.778302	     707.779286
         4553.4	     506.485849	     708.985133
        4553.65	     567.806604	     710.190848
         4553.9	     600.825472	      711.39643
        4554.15	     603.773585	      712.60188
         4554.4	     397.995283	     713.807198
        4554.65	     519.457547	     715.012383
         4554.9	     571.933962	     716.217436
        4555.15	     756.485849	     717.422357
         4555.4	     603.183962	     718.627145
        4555.65	     702.830189	     719.831801
         4555.9	     901.533019	     721.036325
        4556.15	    1223.466981	     722.240717
         4556.4	    1288.325472	     723.444977
        4556.65	    1818.396226	     724.649104
         4556.9	    2039.504717	       725.8531
        4557.15	    1186.910377	     727.056963
         4557.4	    1316.627358	     728.260694
        4557.65	    1576.061321	     729.464294
         4557.9	         1750.0	     730.667761
        4558.15	    1535.377358	     731.871096
         4558.4	    1456.957547	     733.074299
        4558.65	         1625.0	      734.27737
         4558.9	    1411.556604	      735.48031
        4559.15	    2304.245283	     736.683117
         4559.4	    2418.042453	     737.885792
        4559.65	    3288.915094	     739.088336
         4559.9	    3143.278302	     740.290748
        4560.15	    2717.570755	     741.493027
         4560.4	     2915.09434	     742.695175
        4560.65	    3828.419811	     743.897192
         4560.9	    4057.193396	     745.099076
         4561.2	    3575.471698	     746.541163
         4561.4	    3580.188679	      747.50245
        4561.65	    2774.174528	     748.703939
         4561.9	    2692.806604	     749.905297
        4562.15	    2377.948113	     751.106522
         4562.4	    2388.561321	     752.307617
        4562.65	    2570.165094	     753.508579
         4562.9	    2479.363208	      754.70941
        4563.15	    2918.042453	      755.91011
         4563.4	    3366.745283	     757.110678
        4563.65	     4584.90566	     758.311114
         4563.9	     5178.65566	     759.511419
         4564.2	    7760.023585	     760.951611
         4564.4	    8670.400943	     761.911634
        4564.65	    8144.457547	     763.111545
         4564.9	     7102.59434	     764.311324
         4565.2	    4005.896226	     765.750885
         4565.4	    3505.306604	     766.710487
         4565.7	    3099.646226	     768.149733
         4565.9	    3012.971698	     769.109126
        4566.15	    3175.117925	     770.308248
         4566.4	    3279.481132	     771.507239
        4566.65	    4586.674528	     772.706098
         4566.9	    5170.990566	     773.904827
        4567.15	    5925.117925	     775.103424
         4567.4	    6736.438679	      776.30189
        4567.65	    6100.825472	     777.500225
         4567.9	    5455.188679	     778.698428
        4568.15	    3362.617925	       779.8965
         4568.4	    2704.009434	     781.094442
        4568.65	    1611.438679	     782.292252
         4568.9	    1403.301887	     783.489931
         4569.2	    1063.679245	     784.926973
         4569.4	     879.716981	     785.884896
        4569.65	     760.023585	     787.082182
         4569.9	     662.735849	     788.279337
         4570.2	     735.259434	      789.71575
         4570.4	     889.740566	     790.673254
        4570.65	     676.886792	     791.870016
         4570.9	     518.867925	     793.066647
        4571.15	     521.226415	     794.263148
         4571.4	      573.70283	     795.459517
         4571.7	      573.70283	     796.894988
         4571.9	     751.768868	     797.851863
        4572.15	     567.216981	      799.04784
         4572.4	     679.834906	     800.243687
        4572.65	     485.849057	     801.439402
         4572.9	      491.15566	     802.634987
        4573.15	     491.745283	     803.830441
         4573.4	     418.042453	     805.025764
        4573.65	     420.990566	     806.220957
         4573.9	     454.599057	     807.416018
         4574.2	     715.212264	      808.84992
         4574.4	     609.669811	      809.80575
        4574.65	     530.660377	     811.000421
         4574.9	     402.122642	      812.19496
